Name,bb_cluster_rank,bb_cluster_size,subcluster_rank,subcluster_size
50141639,1,260,6,11
50139666,1,260,6,11
50141640,1,260,6,11
50141638,1,260,6,11
50141644,1,260,6,11
50154310,1,260,6,11
50161010,1,260,7,7
54116,1,260,7,7
54115,1,260,7,7
54117,1,260,7,7
29109,1,260,7,7
29105,1,260,7,7
29148,1,260,7,7
50162118,1,260,8,6
50210640,1,260,8,6
50210644,1,260,8,6
50210655,1,260,8,6
50210664,1,260,8,6
50210675,1,260,8,6
50161012,1,260,9,5
50161015,1,260,9,5
50161015,1,260,9,5
50161014,1,260,9,5
50161017,1,260,9,5
50215516,2,127,1,26
50220795,2,127,1,26
50158051,2,127,1,26
50215519,2,127,1,26
50215544,2,127,1,26
50158057,2,127,1,26
50222406,2,127,1,26
50157415,2,127,1,26
50157426,2,127,1,26
50157441,2,127,1,26
50157501,2,127,1,26
50093271,2,127,1,26
50215543,2,127,1,26
50215937,2,127,1,26
50215700,2,127,1,26
50215938,2,127,1,26
50215910,2,127,1,26
50215978,2,127,1,26
50215995,2,127,1,26
50216010,2,127,1,26
50215968,2,127,1,26
50215985,2,127,1,26
50215530,2,127,1,26
50215906,2,127,1,26
50216014,2,127,1,26
50216011,2,127,1,26
50157456,2,127,2,16
50215905,2,127,2,16
50157480,2,127,2,16
50157435,2,127,2,16
50157458,2,127,2,16
50157489,2,127,2,16
50157520,2,127,2,16
50168766,2,127,2,16
50168798,2,127,2,16
50168736,2,127,2,16
50168805,2,127,2,16
50168838,2,127,2,16
284495,2,127,2,16
50093272,2,127,2,16
284494,2,127,2,16
50168821,2,127,2,16
288429,2,127,3,12
288415,2,127,3,12
288427,2,127,3,12
288449,2,127,3,12
288461,2,127,3,12
288463,2,127,3,12
288470,2,127,3,12
288483,2,127,3,12
288490,2,127,3,12
361714,2,127,3,12
361715,2,127,3,12
50248132,2,127,3,12
50220736,2,127,4,12
50220708,2,127,4,12
50220705,2,127,4,12
50220715,2,127,4,12
50220718,2,127,4,12
50220719,2,127,4,12
50220716,2,127,4,12
50220713,2,127,4,12
50220721,2,127,4,12
50220717,2,127,4,12
50220728,2,127,4,12
220608,2,127,4,12
50220829,2,127,5,10
50220806,2,127,5,10
50220799,2,127,5,10
50220801,2,127,5,10
50220826,2,127,5,10
50220827,2,127,5,10
50220825,2,127,5,10
50220814,2,127,5,10
50220830,2,127,5,10
50220828,2,127,5,10
50222508,2,127,6,7
50158039,2,127,6,7
50158056,2,127,6,7
50158059,2,127,6,7
50158053,2,127,6,7
50158052,2,127,6,7
50222475,2,127,6,7
50225098,2,127,7,6
50225042,2,127,7,6
50225097,2,127,7,6
50225095,2,127,7,6
50225120,2,127,7,6
50225103,2,127,7,6
50157506,2,127,8,6
50157432,2,127,8,6
50157457,2,127,8,6
50222500,2,127,8,6
50222480,2,127,8,6
50157513,2,127,8,6
270667,2,127,9,6
270662,2,127,9,6
270664,2,127,9,6
270652,2,127,9,6
270654,2,127,9,6
270668,2,127,9,6
284491,2,127,10,5
284490,2,127,10,5
284493,2,127,10,5
284492,2,127,10,5
284484,2,127,10,5
50248153,2,127,11,3
50248146,2,127,11,3
50248150,2,127,11,3
298712,2,127,12,3
290128,2,127,12,3
298703,2,127,12,3
50491825,3,55,1,38
50491832,3,55,1,38
220581,3,55,1,38
26899,3,55,1,38
220575,3,55,1,38
25935,3,55,1,38
220577,3,55,1,38
220580,3,55,1,38
220576,3,55,1,38
220578,3,55,1,38
220584,3,55,1,38
220589,3,55,1,38
220591,3,55,1,38
220585,3,55,1,38
220583,3,55,1,38
220592,3,55,1,38
220588,3,55,1,38
220593,3,55,1,38
220590,3,55,1,38
220596,3,55,1,38
220594,3,55,1,38
220595,3,55,1,38
220597,3,55,1,38
220600,3,55,1,38
220599,3,55,1,38
220598,3,55,1,38
220604,3,55,1,38
220607,3,55,1,38
220602,3,55,1,38
220601,3,55,1,38
220613,3,55,1,38
220612,3,55,1,38
220603,3,55,1,38
220614,3,55,1,38
220615,3,55,1,38
330376,3,55,1,38
50491820,3,55,1,38
50491826,3,55,1,38
50491831,3,55,2,5
50491801,3,55,2,5
50491798,3,55,2,5
50491830,3,55,2,5
50491792,3,55,2,5
50220835,3,55,3,5
50220798,3,55,3,5
50220832,3,55,3,5
50220804,3,55,3,5
50220833,3,55,3,5
330377,3,55,4,4
330374,3,55,4,4
330375,3,55,4,4
330378,3,55,4,4
50216852,4,29,1,29
50216819,4,29,1,29
50216904,4,29,1,29
50216777,4,29,1,29
50216797,4,29,1,29
50216969,4,29,1,29
50216959,4,29,1,29
50216917,4,29,1,29
50216966,4,29,1,29
50217011,4,29,1,29
50216982,4,29,1,29
50216810,4,29,1,29
50216768,4,29,1,29
50216811,4,29,1,29
50216813,4,29,1,29
50216820,4,29,1,29
50216816,4,29,1,29
50216821,4,29,1,29
50216814,4,29,1,29
50216835,4,29,1,29
50216834,4,29,1,29
50216827,4,29,1,29
50216847,4,29,1,29
50216843,4,29,1,29
50216815,4,29,1,29
50216994,4,29,1,29
50216991,4,29,1,29
50216996,4,29,1,29
50216998,4,29,1,29
298715,5,28,1,19
298714,5,28,1,19
290127,5,28,1,19
290125,5,28,1,19
290123,5,28,1,19
290124,5,28,1,19
290130,5,28,1,19
290128,5,28,1,19
290129,5,28,1,19
298703,5,28,1,19
298704,5,28,1,19
298705,5,28,1,19
290146,5,28,1,19
298706,5,28,1,19
298709,5,28,1,19
298712,5,28,1,19
298716,5,28,1,19
298718,5,28,1,19
298711,5,28,1,19
50156416,5,28,2,4
50156407,5,28,2,4
50156417,5,28,2,4
50156415,5,28,2,4
50220694,6,25,1,23
50220693,6,25,1,23
50220598,6,25,1,23
50220691,6,25,1,23
50220700,6,25,1,23
50220582,6,25,1,23
50220583,6,25,1,23
50220587,6,25,1,23
50220588,6,25,1,23
50220589,6,25,1,23
50220590,6,25,1,23
50220591,6,25,1,23
50220592,6,25,1,23
50220593,6,25,1,23
50220680,6,25,1,23
50220681,6,25,1,23
50220682,6,25,1,23
50220686,6,25,1,23
50220692,6,25,1,23
50220690,6,25,1,23
50220696,6,25,1,23
50220698,6,25,1,23
50220701,6,25,1,23
50169586,7,23,1,17
50169583,7,23,1,17
50125053,7,23,1,17
50134549,7,23,1,17
50169576,7,23,1,17
50169570,7,23,1,17
50169569,7,23,1,17
50169577,7,23,1,17
50169567,7,23,1,17
50169585,7,23,1,17
50169589,7,23,1,17
50169588,7,23,1,17
50169593,7,23,1,17
50169591,7,23,1,17
50169579,7,23,1,17
50169572,7,23,1,17
50209337,7,23,1,17
50141632,7,23,2,3
50139668,7,23,2,3
50141631,7,23,2,3
50225010,8,20,1,20
50225004,8,20,1,20
50225008,8,20,1,20
50225002,8,20,1,20
50225012,8,20,1,20
50225000,8,20,1,20
50224999,8,20,1,20
50225010,8,20,1,20
